%SpO2	BPM	Pulse Amplitude	Current time
100	 87	  2	23:01:24
100	 89	  2	23:01:28
100	 91	  3	23:01:30
100	 90	  3	23:01:32
100	 86	  3	23:01:34
100	 85	  3	23:01:36
100	 85	  3	23:01:38
100	 84	  3	23:01:40
100	 83	  2	23:01:42
100	 84	  2	23:01:44
100	 84	  2	23:01:46
100	 86	  2	23:01:48
100	 89	  2	23:01:50
100	 89	  2	23:01:52
100	 86	  2	23:01:54
100	 84	  2	23:01:56
100	 84	  2	23:01:58
100	 83	  2	23:02:00
100	 83	  3	23:02:02
100	 84	  2	23:02:04
100	 83	  2	23:02:06
100	 83	  2	23:02:08
100	 81	  2	23:02:14
100	 81	  3	23:02:16
100	 79	  3	23:02:18
100	 78	  3	23:02:20
100	 79	  2	23:02:22
100	 79	  2	23:02:24
100	 80	  3	23:02:26
100	 78	  2	23:02:28
100	 77	  2	23:02:30
100	 76	  2	23:02:32
100	 76	  2	23:02:34
100	 76	  3	23:02:36
100	 75	  3	23:02:38
100	 76	  3	23:02:40
100	 77	  2	23:02:42
100	 79	  2	23:02:44
100	 79	  2	23:02:46
100	 78	  2	23:02:48
100	 77	  2	23:02:50
100	 78	  2	23:02:52
100	 78	  3	23:02:58
100	 76	  2	23:03:00
100	 77	  2	23:03:02
100	 78	  2	23:03:04
100	 79	  2	23:03:06
100	 79	  2	23:03:08
100	 77	  2	23:03:10
100	 77	  2	23:03:12
100	 79	  2	23:03:14
100	 79	  3	23:03:16
100	 79	  3	23:03:18
100	 78	  3	23:03:20
100	 78	  2	23:03:22
100	 79	  2	23:03:24
100	 78	  2	23:03:26
100	 77	  2	23:03:28
100	 77	  2	23:03:30
100	 77	  2	23:03:32
100	 77	  2	23:03:34
100	 76	  3	23:03:36
100	 78	  2	23:03:40
100	 78	  2	23:03:42
100	 78	  2	23:03:44
100	 78	  2	23:03:46
100	 78	  2	23:03:48
100	 79	  2	23:03:50
100	 79	  3	23:03:52
100	 79	  2	23:03:54
100	 79	  2	23:03:56
100	 79	  2	23:03:58
100	 79	  2	23:04:00
100	 81	  2	23:04:02
100	 82	  2	23:04:04
100	 84	  2	23:04:06
100	 84	  2	23:04:08
100	 85	  2	23:04:10
100	 84	  2	23:04:12
100	 85	  2	23:04:14
100	 85	  2	23:04:16
100	 84	  2	23:04:18
100	 84	  2	23:04:20
100	 85	  2	23:04:26
100	 84	  2	23:04:28
100	 84	  2	23:04:30
100	 85	  2	23:04:32
100	 86	  2	23:04:34
100	 87	  2	23:04:36
100	 86	  3	23:04:38
100	 84	  3	23:04:40
100	 83	  2	23:04:42
100	 83	  3	23:04:44
100	 84	  3	23:04:46
100	 83	  3	23:04:48
100	 79	  3	23:04:50
100	 79	  2	23:04:52
